"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","last_metadata_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","dataowner_department","department_department","refreshfrequency_frequency","transparencyapp_application","dataowner_owner"
"7c2e-uany","2025 Paid Parking Occupancy","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains all records for 2025.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","sdot,pay stations,parking,curbspace","https://cos-data.seattle.gov/d/7c2e-uany","https://cos-data.seattle.gov/resource/7c2e-uany.json","2026-02-17T15:16:08.000","2026-02-28T07:54:59.000","2026-03-16T16:23:41.000","cos-data.seattle.gov","false","1266","4","152053953","12",,"Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","One Time",,
"m6va-m4qe","City of Seattle Capital Budget","City of Seattle Capital Budget. The data feeds the Capital Budget information on openbudget.seattle.gov.","Nicole Evans","4kr2-jpwe","published","public","approved","official","dataset","City Administration","budget,capital budget,capital","https://cos-data.seattle.gov/d/m6va-m4qe","https://cos-data.seattle.gov/resource/m6va-m4qe.json","2017-09-26T22:45:44.000","2026-03-04T23:04:50.000","2026-03-04T23:04:35.000","cos-data.seattle.gov","false","9141","2434","37717","7","open.data@seattle.gov","Public Domain","City of Seattle",,,,,,"Budget Office","One Time",,
"v4q3-5hvp","Public Life Data - Geography","A GeoJSON file with polygons of every location studied.

------------------------------------------

The City of Seattle Department of Transportation (SDOT) is providing data from the public life studies it has conducted since 2017. These studies consist of measuring the number of people using public space and the types of activities present on select sidewalks across the city, as well as several parks and plazas. The data set is continually updated as SDOT and other parties conduct public life studies using Gehl Institute’s Public Life Data Protocol.

This dataset consists of four component spreadsheets and a GeoJSON file, which provide public life data as well as information about the study design and study locations:

1 Public Life Study: provides details on the different studies that have been conducted, including project information.
https://data.seattle.gov/Transportation/Public-Life-Data-Study/7qru-sdcp

2 Public Life Location: provides details on the sites selected for each study, including various attributes to allow for comparison across sites.
https://data.seattle.gov/Transportation/Public-Life-Data-Locations/fg6z-cn3y

3 Public Life People Moving: provides data on people moving through space, including total number observed, gender breakdown, group size, and age groups.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Moving/7rx6-5pgd

4 Public Life People Staying: provides data on people staying still in the space, including total number observed, demographic data, group size, postures, and activities.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Staying/5mzj-4rtf

5 Public Life Geography: A GeoJSON file with polygons of every location studied.

Please download and refer to the Public Life metadata document - in the attachment section below - for comprehensive information about all of the Public Life datasets.","Public Life Program","iici-p536","published","public","approved","official","dataset","Community and Culture","people moving,vibrancy,transportation,survey,streets,sidewalks,sdot,public space,public life,people staying","https://cos-data.seattle.gov/d/v4q3-5hvp","https://cos-data.seattle.gov/resource/v4q3-5hvp.json","2020-06-03T17:18:05.000","2023-02-07T00:17:43.000","2025-01-30T04:24:55.000","cos-data.seattle.gov","false","9660","251","127","2","SDOTPublicLife@seattle.gov","Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Other",,
"5ngg-rpne","Customer Service Requests","This data set contains selected information for service requests, for service request types that are or were available to the public via the Customer Service Requests web portal and/or Find It, Fix It mobile app.","Bolinger, Brandon","eng5-32q9","published","public","approved","official","dataset","City Administration","neighborhood,service request,customer","https://cos-data.seattle.gov/d/5ngg-rpne","https://cos-data.seattle.gov/resource/5ngg-rpne.json","2024-04-08T22:00:20.000","2026-04-01T15:10:04.000","2026-04-01T15:06:04.000","cos-data.seattle.gov","false","13441","11650","2334770","16",,"Public Domain","City of Seattle",,,,,,"Department of Finance and Administrative Services","Daily",,
"s72h-pqjm","Traffic Counts Studies by Type","This table provides the type of study performed, for better understanding of the data. Studies can be performed for multiple reasons and will show up multiple times in this table. The SDOT Traffic Counts group runs studies across the city to collect traffic volumes. Most studies are done with pneumatic tubes, but some come from video systems as well. Use the field study_id to match it with other tables for more information.","Conor, Jeffrey","pf4e-vhvy","published","public","approved","official","dataset","Transportation","counts,traffic counts","https://cos-data.seattle.gov/d/s72h-pqjm","https://cos-data.seattle.gov/resource/s72h-pqjm.json","2023-01-11T15:33:17.000","2026-03-31T22:35:46.000","2026-03-31T22:35:40.000","cos-data.seattle.gov","false","10238","537","89049","2",,"Public Domain","SDOT Traffic Counts Group",,,,,,"Seattle Department of Transportation","Daily",,
"k6nc-7s8x","Civil Rights Customer Inquiries by Month","An inquiry is counted when a customer contacts the Seattle Office for Civil Rights (SOCR) about a potential violation of civil rights laws. This dataset breaks down the amount of inquiries by month.","Beach, Monica","a7mz-bafv","published","public","approved","official","dataset","City Administration","civil rights,discrimination","https://cos-data.seattle.gov/d/k6nc-7s8x","https://cos-data.seattle.gov/resource/k6nc-7s8x.json","2017-09-27T22:24:22.000","2026-03-10T18:14:01.000","2026-03-10T18:14:00.000","cos-data.seattle.gov","false","8437","238","110","3","monica.beach@seattle.gov","Public Domain","City of Seattle","https://www.seattle.gov/civilrights",,,,,"Seattle Office for Civil Rights","Monthly",,
"dm95-f8w5","Special Events Permits","Applications received and Special Event permits issued by Special Events Office, Office of Economic Development, since 2019","Hannah.Tyo@seattle.gov","7vj8-2m38","published","public","approved","official","dataset","Community and Culture","rallies,fairs,events,festivals,marches,parades,demonstrations,permits","https://cos-data.seattle.gov/d/dm95-f8w5","https://cos-data.seattle.gov/resource/dm95-f8w5.json","2017-02-07T23:27:16.000","2025-01-08T17:26:06.000","2025-01-29T06:48:57.000","cos-data.seattle.gov","false","8989","618","2018","15","specialeventsoffice@seattle.gov","Public Domain","City of Seattle",,,,,,"Department of Economic Development","Annually",,
"gm8h-9449","SDOT Drawbridge Status","SDOT manages several drawbridges/movable bridges in the City. Their status is monitored automatically and recorded in this table. Please note this data is not checked before publishing and may contain errors or omissions. For example, sometimes a bridge must be moved a few times to get it fully settled and that may show in the data as multiple openings/closings, when in reality it was one bridge event. The sensors may fail and a bridge will still open/close and not be recorded in this dataset.","Conor, Jeffrey","pf4e-vhvy","published","public","approved","official","dataset","Transportation","counts","https://cos-data.seattle.gov/d/gm8h-9449","https://cos-data.seattle.gov/resource/gm8h-9449.json","2025-01-14T17:36:04.000","2026-04-01T09:05:31.000","2026-04-01T09:05:20.000","cos-data.seattle.gov","false","9920","157","12322","8","Jeffrey.Conor@seattle.gov","Public Domain",,,,,,,"Seattle Department of Transportation","Daily",,
"avwm-i8ym","2nd Ave Cycle Track North of Marion St Bicycle Counter","The counter consist on Inductive loops on the pathway that count the passing of bicycles with travel direction. They are very accurate and designed to be used on greenways and cycle tracks","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike counts,bike,counts,bicycle,monthly data,pedestrian,sdot,seattle","https://cos-data.seattle.gov/d/avwm-i8ym","https://cos-data.seattle.gov/resource/avwm-i8ym.json","2015-10-12T17:13:07.000","2026-03-10T22:23:24.000","2026-03-10T22:23:23.000","cos-data.seattle.gov","false","6270","489","97848","6",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"ra8u-g2xi","Street Use Review Times","Monthly review times for Street Use permits.","Tanya.He@seattle.gov","hz6e-f3h4","published","public","approved","official","dataset","Built Environment","transportation,permit applications,review timeline,sdot,street use,seattle department of transportation","https://cos-data.seattle.gov/d/ra8u-g2xi","https://cos-data.seattle.gov/resource/ra8u-g2xi.json","2023-10-30T21:38:19.000","2026-03-02T16:48:19.000","2026-03-02T16:48:18.000","cos-data.seattle.gov","false","5990","63","724","5",,"Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Monthly",,
"enxu-fgzb","Active Fleet Complement","The City of Seattle's active fleet equipment complement is dynamic. This list is updated on a monthly basis.","Lucy.Bonomo@seattle.gov","2u45-tx99","published","public","approved","official","dataset","City Administration","fleet,equipment,cars,trucks","https://cos-data.seattle.gov/d/enxu-fgzb","https://cos-data.seattle.gov/resource/enxu-fgzb.json","2014-02-04T22:36:58.000","2026-01-29T22:42:50.000","2026-01-29T22:42:48.000","cos-data.seattle.gov","false","11823","903","4231","14","lucy.bonomo@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov",,,,,"Department of Finance and Administrative Services","Monthly",,
"wnbq-64tb","Active Business License Tax Certificate","This dataset contains active business license tax certificate data for the City of Seattle","Jackie.Mitchell@seattle.gov","s9gf-pyfz","published","public","approved","official","dataset","City Administration","license,business,tax","https://cos-data.seattle.gov/d/wnbq-64tb","https://cos-data.seattle.gov/resource/wnbq-64tb.json","2018-07-10T20:26:54.000","2026-04-01T16:30:44.000","2026-04-01T16:30:36.000","cos-data.seattle.gov","false","22605","212759","82173","13",,"Public Domain","Department of Finance and Administrative Services","http://www.seattle.gov",,,,,"Department of Finance and Administrative Services","Daily",,
"tqk8-y2z5","Plan Review","This dataset shows the steps taken in building plan review for permits in the City ofSeattle","Dev.Nambi@seattle.gov","itw4-gqi9","published","public","approved","official","dataset","Built Environment","permit applications,building applications,seattle department of construction and inspections,sdci,building permits,construction permits","https://cos-data.seattle.gov/d/tqk8-y2z5","https://cos-data.seattle.gov/resource/tqk8-y2z5.json","2025-09-24T19:41:45.000","2026-04-01T14:56:25.000","2026-04-01T14:54:42.000","cos-data.seattle.gov","false","6794","63","253691","46","open.data@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/sdci",,,,,"Seattle Department of Construction & Inspections","To Be Determined",,
"7qru-sdcp","Public Life Data - Study","Provides details on the different studies that have been conducted, including project information.

------------------------------------------

The City of Seattle Department of Transportation (SDOT) is providing data from the public life studies it has conducted since 2017. These studies consist of measuring the number of people using public space and the types of activities present on select sidewalks across the city, as well as several parks and plazas. The data set is continually updated as SDOT and other parties conduct public life studies using Gehl Institute’s Public Life Data Protocol.

This dataset consists of four component spreadsheets and a GeoJSON file, which provide public life data as well as information about the study design and study locations:

1 Public Life Study: provides details on the different studies that have been conducted, including project information.

2 Public Life Location: provides details on the sites selected for each study, including various attributes to allow for comparison across sites.
https://data.seattle.gov/Transportation/Public-Life-Data-Locations/fg6z-cn3y

3 Public Life People Moving: provides data on people moving through space, including total number observed, gender breakdown, group size, and age groups.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Moving/7rx6-5pgd

4 Public Life People Staying: provides data on people staying still in the space, including total number observed, demographic data, group size, postures, and activities.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Staying/5mzj-4rtf

5 Public Life Geography: A GeoJSON file with polygons of every location studied.
https://data.seattle.gov/Transportation/Public-Life-Data-Geography/v4q3-5hvp

Please download and refer to the Public Life metadata document - in the attachment section below - for comprehensive information about all of the Public Life datasets.","Public Life Program","iici-p536","published","public","approved","official","dataset","Community and Culture","public space,people staying,people moving,transportation,survey,streets,sidewalks,sdot,public life","https://cos-data.seattle.gov/d/7qru-sdcp","https://cos-data.seattle.gov/resource/7qru-sdcp.json","2020-06-03T21:29:15.000","2023-02-06T23:52:46.000","2025-01-29T06:05:04.000","cos-data.seattle.gov","false","10442","268","6","9","SDOTPublicLife@seattle.gov","Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Other",,
"293h-ej5h","SPU Solid Waste Tons and Trips Data","SPU Solid Waste Tons and Trips provides daily collection tonnages from the residential sector that are collected by contracted haulers. The data provides a full accounting of residential garbage, recycling, organics curbside collections. Commercial, self-haul and C&D are not included. Data from private transfer stations is not included. For more information see <a href=""https://www.seattle.gov/utilities/about/plans/solid-waste/about-solid-waste"">https://www.seattle.gov/utilities/about/plans/solid-waste/about-solid-waste</a>.","mharsch","3evw-idy8","published","public","approved","official","dataset","Built Environment","garbage,facility,organics,recycle,residential,self-haul,solid waste,tonnage,yard waste","https://cos-data.seattle.gov/d/293h-ej5h","https://cos-data.seattle.gov/resource/293h-ej5h.json","2023-01-05T19:15:09.000","2026-04-01T12:40:01.000","2026-04-01T12:39:58.000","cos-data.seattle.gov","false","6454","160","35108","8","spu_swppm_data@seattle.gov","Public Domain","SPU",,,,,,"Seattle Public Utilities","Daily",,
"76t5-zqzr","Building Permits","All building permits issued or in progress within the city of Seattle.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment","sdci,construction permits,building permits,building applications,seattle department of construction and inspections,permit applications","https://cos-data.seattle.gov/d/76t5-zqzr","https://cos-data.seattle.gov/resource/76t5-zqzr.json","2017-07-06T23:41:05.000","2026-04-01T13:17:52.000","2026-04-01T13:09:58.000","cos-data.seattle.gov","false","64676","34542","188864","44","moon.callison@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/sdci",,,,,"Seattle Department of Construction & Inspections","Daily",,
"upms-nr8w","Spokane St Bridge Bicycle Counter","The Spokane Bridge Bicycle Counter records the number of bikes that cross the bridge using the pedestrian/bicycle pathway on the south side. Inductive loops on the pathway count the passing of bicycles with travel direction. The data consists of a date/time field, east pathway count field and west pathway count field. The count fields represent the total bicycles detected during the specified one hour period.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike,bike counter,bike counts,bicycle,eco-counter","https://cos-data.seattle.gov/d/upms-nr8w","https://cos-data.seattle.gov/resource/upms-nr8w.json","2014-02-04T16:57:57.000","2025-12-16T18:44:39.000","2025-12-16T18:44:39.000","cos-data.seattle.gov","false","8332","558","108061","4",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"eyde-ia6x","Street Use Permit Applications Public Notices","Street Use Notice of Public Comment Period: Listed below are Street Use proposals currently open to public comment and those with a recent permitting decision. For questions or to request more information about a proposal, email publicspace@seattle.gov with the application number and location included.","Arlene.Tran@seattle.gov","s7n7-fsk9","published","public","approved","official","dataset","Built Environment","food truck,sidewalk cafe,street use,sdot,public space management,public comment,seattle department of transportation","https://cos-data.seattle.gov/d/eyde-ia6x","https://cos-data.seattle.gov/resource/eyde-ia6x.json","2023-02-09T00:24:52.000","2026-04-01T15:31:40.000","2026-04-01T15:31:40.000","cos-data.seattle.gov","false","10265","218","1","11","publicspace@seattle.gov","Public Domain",,,,,,,"Seattle Department of Transportation","Daily",,
"qew5-gawh","OPA Complaint Tracker - Task Language","OPA COMPLAINT TRACKER
Task language; data used to report a user friendly message to","Eric Seely","avp3-c5p7","published","public","approved","official","dataset","Public Safety",,"https://cos-data.seattle.gov/d/qew5-gawh","https://cos-data.seattle.gov/resource/qew5-gawh.json","2015-03-25T21:25:57.000","2023-07-06T20:40:37.000","2025-01-29T22:58:29.000","cos-data.seattle.gov","false","533","161","48","2","Brett.Barrett@seattle.gov","Public Domain","Melanie Vogt",,,,,,"Office of Police Accountability","Other",,
"qqw9-cbst","Discrimination Case Settlements by Month, 2017-Present","Cases result in settlement in a variety of ways. A pre-determination settlement occurs at any point during the investigation. A conciliation occurs after a reasonable cause finding is issued. At times, parties settle privately which results in a withdrawal with benefits. This dataset shows the amount of cases that settle by month at the Seattle Office for Civil Rights (SOCR) for all categories noted above.","Beach, Monica","a7mz-bafv","published","public","approved","official","dataset","City Administration","discrimination,civil rights","https://cos-data.seattle.gov/d/qqw9-cbst","https://cos-data.seattle.gov/resource/qqw9-cbst.json","2017-09-27T22:35:39.000","2026-03-10T18:13:08.000","2026-03-10T18:13:08.000","cos-data.seattle.gov","false","10007","323","109","3","monica.beach@seattle.gov","Public Domain","City of Seattle","https://www.seattle.gov/civilrights",,,,,"Seattle Office for Civil Rights","Monthly",,
"54qs-2h7f","Unreinforced Masonry Buildings","***As of 1/16/2025 this dataset is no longer being maintained. The updated version of this data can be accessed here: https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::unreinforced-masonry-buildings-urm/about ****

A list of known unreinforced masonry buildings in the Seattle city limits.","Seattle SDCI","5wys-t5s3","published","public","approved","official","dataset","Built Environment","sdci,building,urm,unreinforced masonry buildings,seattle department of construction and inspections,earthquake","https://cos-data.seattle.gov/d/54qs-2h7f","https://cos-data.seattle.gov/resource/54qs-2h7f.json","2016-05-06T16:37:44.000","2025-01-08T17:52:06.000","2025-01-29T04:58:54.000","cos-data.seattle.gov","false","55653","3188","1140","13","nancy.devine@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/sdci/",,,,,"Seattle Department of Construction & Inspections","Other",,
"e3zj-s4zh","Seattle Crime Stats by 1990 Census Tract 1996-2007","Violent Part 1 crime statistics by 1990 census tract.","SPD_AskSPDAnalytics@seattle.gov","hp7p-wh9r","published","public","approved","official","dataset","Public Safety","seattle,crime,violent","https://cos-data.seattle.gov/d/e3zj-s4zh","https://cos-data.seattle.gov/resource/e3zj-s4zh.json","2009-11-23T20:07:19.000","2011-08-21T02:48:14.000","2025-01-29T06:54:43.000","cos-data.seattle.gov","false","9908","638","14268","4",,"Public Domain","City of Seattle",,,,,,"Seattle Police Department","One Time",,
"2z5v-ecg8","Burke Gilman Trail north of NE 70th St Bicycle and Pedestrian Counter","These sensors counts both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","pedestrian,monthly data,sdot,seattle,counts,bike,bicycle,bike counts","https://cos-data.seattle.gov/d/2z5v-ecg8","https://cos-data.seattle.gov/resource/2z5v-ecg8.json","2014-02-04T16:15:56.000","2026-03-10T22:19:23.000","2026-03-10T22:19:23.000","cos-data.seattle.gov","false","9814","1122","97512","6","rafael.zuniga@seattle.gov","Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"ajvs-k55z","Privately Owned Public Spaces","Privately Owned Public Spaces are created as a public benefit as part of a private development project, usually in exchange for certain project advantages allowed by City code.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment",,"https://cos-data.seattle.gov/d/ajvs-k55z","https://cos-data.seattle.gov/resource/ajvs-k55z.json","2014-05-14T17:17:40.000","2018-12-27T18:37:21.000","2024-09-30T20:33:49.000","cos-data.seattle.gov","false","8587","1169","44","15","moon.callison@seattle.gov","Public Domain","City of Seattle",,,,,,"Seattle Department of Construction & Inspections","Other",,
"9gb2-237x","Monthly Tow Statistics 2021-Current","Monthly Tow Statistics 2021-Current","Hollinger, Adam","kjyw-h9kk","published","public","approved","official","dataset",,,"https://cos-data.seattle.gov/d/9gb2-237x","https://cos-data.seattle.gov/resource/9gb2-237x.json","2025-05-08T18:14:16.000","2025-05-08T23:29:46.000","2025-05-09T14:36:57.000","cos-data.seattle.gov","false","4286","36","52","23","xinbao.wang@seattle.gov",,,,,,,,"Department of Finance and Administrative Services","To Be Determined",,
"47yq-6ugv","NW 58th St Greenway at 22nd Ave NW Bicycle Counter (Out of Service)","This counter is no longer counting continuously and will be counted quarterly.  

The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","counts,seattle,sdot,pedestrian,monthly data,bike,bicycle","https://cos-data.seattle.gov/d/47yq-6ugv","https://cos-data.seattle.gov/resource/47yq-6ugv.json","2014-02-04T15:50:25.000","2022-08-18T22:00:36.000","2025-01-29T04:47:39.000","cos-data.seattle.gov","false","7074","587","73766","4",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"8fwq-jcnn","Seattle Police PDRs","A list of all public data requests made to the Seattle Police Department 2016 to December 2020. Requester names have been anonymized. Request summaries have been redacted to remove personally identifiable information (e.g. names, addresses, phone numbers, etc.)  entered by the requester.","Vonaschen-Cook, Mirs","shdq-d9dx","published","public","approved","official","dataset","Public Safety","police,public records,pdr","https://cos-data.seattle.gov/d/8fwq-jcnn","https://cos-data.seattle.gov/resource/8fwq-jcnn.json","2020-12-11T23:34:33.000","2021-02-08T17:58:26.000","2025-01-29T06:08:19.000","cos-data.seattle.gov","false","13733","5975","37952","11","miriam.vonaschen-cook@seattle.gov",,"SPD",,,,,,"Seattle Police Department","One Time",,
"teqw-tu6e","Building Energy Benchmarking Data, 2015-Present","Seattle’s Building Energy Benchmarking Program (SMC 22.920) requires owners of non-residential and multifamily buildings (Greater than 20,000 square feet) to track energy performance and annually report to the City of Seattle. Annual benchmarking, reporting, and disclosing of building performance are foundational elements of creating more market value for energy efficiency.

Per Ordinance (125000), starting with 2015 energy use performance reporting, the City of Seattle is making the data for all buildings greater than 20,000 SF available annually. This dataset contains benchmarking records for all buildings required to report for years 2015-2024.

If you have questions or comments on the data, email us at energybenchmarking@seattle.gov and include Open Data in the subject line.","Mike.Roos@seattle.gov","4kkq-z72t","published","public","approved","official","dataset","Built Environment","electricity,benchmarking,building energy,buildings,climate change,commercial buildings,energy,energy star,eui,fossil fuel,fossil gas,gas,greenhouse gas,multifamily,multifamily buildings,office of sustainability and environment,ose,steam","https://cos-data.seattle.gov/d/teqw-tu6e","https://cos-data.seattle.gov/resource/teqw-tu6e.json","2024-12-13T23:08:55.000","2025-12-17T20:07:20.000","2025-12-17T20:07:06.000","cos-data.seattle.gov","false","15762","1148","34699","46","Mike.Roos@seattle.gov","Public Domain","The Office of Sustainability and Environment","http://www.seattle.gov/energybenchmarking",,,,,"Office of Sustainability and Environment","Quarterly",,
"fg6z-cn3y","Public Life Data - Locations","Provides details on the sites selected for each study, including various attributes to allow for comparison across sites.

------------------------------------------

The City of Seattle Department of Transportation (SDOT) is providing data from the public life studies it has conducted since 2017. These studies consist of measuring the number of people using public space and the types of activities present on select sidewalks across the city, as well as several parks and plazas. The data set is continually updated as SDOT and other parties conduct public life studies using Gehl Institute’s Public Life Data Protocol.

This dataset consists of four component spreadsheets and a GeoJSON file, which provide public life data as well as information about the study design and study locations:

1 Public Life Study: provides details on the different studies that have been conducted, including project information.
https://data.seattle.gov/Transportation/Public-Life-Data-Study/7qru-sdcp

2 Public Life Location: provides details on the sites selected for each study, including various attributes to allow for comparison across sites.

3 Public Life People Moving: provides data on people moving through space, including total number observed, gender breakdown, group size, and age groups.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Moving/7rx6-5pgd

4 Public Life People Staying: provides data on people staying still in the space, including total number observed, demographic data, group size, postures, and activities.
https://data.seattle.gov/Transportation/Public-Life-Data-People-Staying/5mzj-4rtf

5 Public Life Geography: A GeoJSON file with polygons of every location studied.
https://data.seattle.gov/Transportation/Public-Life-Data-Geography/v4q3-5hvp

Please download and refer to the Public Life metadata document - in the attachment section below - for comprehensive information about all of the Public Life datasets.","Public Life Program","iici-p536","published","public","approved","official","dataset","Community and Culture","transportation,survey,streets,sidewalks,sdot,public space,public life,people staying,people moving","https://cos-data.seattle.gov/d/fg6z-cn3y","https://cos-data.seattle.gov/resource/fg6z-cn3y.json","2020-06-03T17:12:35.000","2023-02-06T23:57:05.000","2025-01-29T07:10:58.000","cos-data.seattle.gov","false","10938","378","132","20","SDOTPublicLife@seattle.gov","Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Other",,
"m2yw-err8","12th Ave S Bike Counter","The 12th Ave S bicycle counter came to service early 2025 and records the number of bikes that cross the bridge using the bicycle pathways just south of S Lane St. Inductive loops on the east and west pathways count the passing of bicycles regardless of travel direction.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike counts,12th ave s,bicycle,bike,counts,seattle,traffic","https://cos-data.seattle.gov/d/m2yw-err8","https://cos-data.seattle.gov/resource/m2yw-err8.json","2025-10-21T18:20:19.000","2026-03-10T22:17:46.000","2026-03-10T22:17:46.000","cos-data.seattle.gov","false","3937","8","42058","4",,"Public Domain",,,,,,,"Seattle Department of Transportation","Monthly",,
"74ix-6xdj","72hr Parking Ordinance Violations","This data set contains selected information for Abandoned Vehicle/72hr Parking Ordinance service requests.","Bolinger, Brandon","eng5-32q9","published","public","approved","official","dataset","City Administration","neighborhood,vehicle infractions,service request,customer,parking","https://cos-data.seattle.gov/d/74ix-6xdj","https://cos-data.seattle.gov/resource/74ix-6xdj.json","2024-04-08T22:59:48.000","2026-04-01T15:40:59.000","2026-04-01T15:38:51.000","cos-data.seattle.gov","false","8290","1314","483176","18",,"Public Domain","City of Seattle",,,,,,"Seattle Police Department","Daily",,
"mqnm-tr2p","City of Seattle Racial Equity Actions","This dataset includes the actions the City of Seattle has been taking towards racial equity. We publish it for accountability and transparency. See who to contact, what we'll deliver, and how we plan on meeting our desired outcomes.

You can also view this information here: https://www.seattle.gov/rsji/city-racial-equity-actions#/1","Beach, Monica","a7mz-bafv","published","public","approved","official","dataset","Community and Culture","workplan,race and social justice initiative,race,policy and planning,office of civil rights,ocr equity plan,ocr,equity,rsji","https://cos-data.seattle.gov/d/mqnm-tr2p","https://cos-data.seattle.gov/resource/mqnm-tr2p.json","2021-08-19T18:42:45.000","2021-11-03T18:48:07.000","2025-01-29T18:43:36.000","cos-data.seattle.gov","false","9143","276","260","26","shuxuan.zhou@seattle.gov","Public Domain","Seattle Office for Civil Rights",,,,,,"Seattle Office for Civil Rights","Annually",,
"7jzm-ucez","Annual Parking Study Data","Manual parking study details from citywide paid parking study, presented by blockface and date/hour of study.  Most data is from spring of each year, with some data sets including summer studies.

Study time periods:
•	2014
•	2015
•	2016
•	2017
•	2018
•	2019

Purpose: To determine hourly parking occupancy for most paid blockfaces in Seattle


Note: In the column descriptions below, a street segment is typically defined as a drivable public street, or as a public walkway or trail, within Seattle city limits. A blockface is defined as one side of a block between road intersections, and often features a sidewalk.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","parking study,sdot,parking,occupancy,manual study,disabled parking,annual parking study,parking pricing program","https://cos-data.seattle.gov/d/7jzm-ucez","https://cos-data.seattle.gov/resource/7jzm-ucez.json","2017-03-02T18:53:21.000","2019-11-26T22:30:42.000","2025-01-29T05:54:41.000","cos-data.seattle.gov","false","11484","1200","167799","24","alex.hagenah@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/parking",,,,,"Seattle Department of Transportation","Annually",,
"gi49-5uh6","Traffic Counts Studies by 15 Minute Bins","This table provides traffic studies in 15 minutes bins and some statistics. The SDOT Traffic Counts group runs studies across the city to collect traffic volumes. Most studies are done with pneumatic tubes, but some come from video systems as well. Use the field study_id to match it with other tables for more information.","Conor, Jeffrey","pf4e-vhvy","published","public","approved","official","dataset","Transportation","counts,traffic counts","https://cos-data.seattle.gov/d/gi49-5uh6","https://cos-data.seattle.gov/resource/gi49-5uh6.json","2023-01-11T00:46:12.000","2026-03-30T05:57:08.000","2026-03-29T22:56:21.000","cos-data.seattle.gov","false","983","878","42504672","13",,"Public Domain","SDOT Traffic Counts Group",,,,,,"Seattle Department of Transportation","Daily",,
"4m8w-zxcb","Code Compliance Violations by Month","Number of code compliance violations, by type, by month since 2003. Sort the Date column in descending order to see the most recent months.","Seattle SDCI","5wys-t5s3","published","public","approved","official","dataset","Built Environment","type of violation,seattle department of construction and inspections,sdci,code compliance violations by month,code enforcement","https://cos-data.seattle.gov/d/4m8w-zxcb","https://cos-data.seattle.gov/resource/4m8w-zxcb.json","2018-12-12T19:40:30.000","2026-04-01T00:00:18.000","2026-04-01T00:00:16.000","cos-data.seattle.gov","false","8919","303","3171","4","moon.callison@seattle.gov","Public Domain","Seattle Department of Construction and Inspections",,,,,,"Seattle Department of Construction & Inspections","Monthly",,
