"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
MasterOfPores,https://github.com/biocorecrg/master_of_pores,,"ELIXIR Spain","Genes and genomes",,"Parallel and scalable workflow for the analysis of Oxford Nanopore direct RNA sequencing datasets. Nextflow pipeline for analysis of Nanopore reads (from RNA/cDNA/DNA).",,https://bio.tools/MasterOfPores,
MATRIXDB,http://matrixdb.univ-lyon1.fr/,,"ELIXIR France","Enzymes, interactions and pathways",,"MatrixDB is a database focused on molecular interactions of extracellular matrix proteins and glycosaminoglycans. The advanced query interface allows users to browse MatrixDB data, to build and to visualize specific interaction networks based on transcriptomic or quantitative proteomic data, diseases, biological processes or molecular functions. MatrixDB hosts the GAG builder tool to build on line 3D models of GAG sequences binding to proteins. ","Sylvie RICARD-BLUM",,https://fairsharing.org/FAIRsharing.91yrz6
MCL,https://micans.org/mcl/,,"ELIXIR Greece",,,"Efficient graph clustering tool with a collection of use cases for protein family detection, orthology assignment and protein interaction module discovery (Emerging Service) ","Christos Ouzounis",,
Mechismo,http://mechismo.russelllab.org/about,,"ELIXIR Germany",,,"Mechismo is a tool that allows rapid predictions of how genetic variants impact on biomolecular function. This is done by a pre-computed collection of protein-protein, protein-DNA/RNA, protein-chemical interactions of known three-dimensional structure mapped to proteomes from major model organisms. Users can input any number of variants to get a ranked list of genes and specific positions that have a functional impact on biomolecular interactions.","Rob Russel",,
MeDeCom,https://github.com/CompEpigen/MeDeCom,,"ELIXIR Germany",,,"MeDeCom is an R package for reference-free decomposition of heterogeneous DNA methylation profiles. ",,https://bio.tools/medecom,
MediaDive,https://mediadive.dsmz.de/,,"ELIXIR Germany",,,"The world's largest collection of cultivation media. The mission of MediaDive is to transform poorly structured media recipes into a standardized database.",,https://bio.tools/mediadive,
Medusa,http://combo.dbe.unifi.it/medusa,,"ELIXIR Italy","Genes and genomes",,"A tool for genome scaffolding that exploits information obtained from a set of (draft or closed) genomes to determine the correct order and orientation of the contigs.","Marco Fondi",https://bio.tools/medusa,
MeltDB,https://meltdb.cebitec.uni-bielefeld.de,,"ELIXIR Germany","Chemical biology",,"Analysis of raw GC- and LC-MS metabolome data against the either the GMD database or user defined libraries in NIST.","Jens Stoye",https://bio.tools/meltdb,
MEM,http://biit.cs.ut.ee/mem/,,"ELIXIR Estonia","Genes and genomes",,"MEM is a web-based multi experiment gene expression query and visualization tool. It gathers thousands of publicly available gene expression data sets from ArrayExpress database.","Jaak Vilo",https://bio.tools/mem,
MemDis,http://memdis.ttk.hu,,"ELIXIR Hungary","Molecular and cellular structures, Proteins and proteomes",,"A method for estimating disordered stretches in transmembrane proteins","Dobson, L.",,
Mentha,http://mentha.uniroma2.it/,,"ELIXIR Italy","Enzymes, interactions and pathways, Proteins and proteomes",,"A comprehensive collection of data from manually curated protein-protein interaction databases adhering to the IMEx consortium.","Luana Licata",https://bio.tools/mentha,https://bio.tools/mentha
Mercator,http://mapman.gabipd.org/web/guest/app/mercator,,"ELIXIR Germany",,,"Mercator is a web server that is able to assign functional terms to protein or nucleotide sequences.","Björn Usadel",https://bio.tools/mercator,
"MESBL GC-MS metabolite peak database",https://elixir-greece.org/node/76,,"ELIXIR Greece",,,"MESBL GC-MS metabolite peak database is a standardized library of more than 900 metabolite peaks from MS-reconstructed gas chromatograms integrating the in-house standard compound and peak library of the FORTH/ICE-HT Metabolic Engineering and Systems Biology Laboratory, appropriately filtered GOLM database peak information and Human Metabolome database information.","Maria I Klapa",https://bio.tools/miolite,
MÉTA,http://novenyzetiterkep.hu/english,,"ELIXIR Hungary","Evolution and phylogeny",,"Programme for the scientific evaluation of our native natural flora heritage","Zsolt Molnár",,
"Metaanalysis Online",https://metaanalysisonline.com/,,"ELIXIR Hungary",Literature,,"An online platform for pooling the results of research with the same objectives",,,
"Metabolic Atlas",https://metabolicatlas.org/,,"ELIXIR Sweden","Molecular and cellular structures",,"Open-source infrastructure service for research and engineering of metabolism in model organisms and human","Jens Nielsen",https://bio.tools/metabolicatlas,https://fairsharing.org/FAIRsharing.7JCjD0
MetaboLights,http://www.ebi.ac.uk/metabolights,,EMBL-EBI,"Chemical biology","ELIXIR Deposition Databases","MetaboLights is a database for metabolomics experiments and derived information. ","Claire O’Donovan",https://bio.tools/metabolights,http://doi.org/10.25504/fairsharing.kkdpxe
"Metabolites Biological Role (MBROLE)",http://csbg.cnb.csic.es/mbrole3/,,"ELIXIR Spain","Chemical biology",,"Server that performs functional enrichment analysis of a list of chemical compounds derived from a metabolomics experiment, which allows this list to be interpreted in biological terms.",,https://bio.tools/mbrole3,
"Metadyn View",http://metadyn.vscht.cz/,,"ELIXIR Czech Republic","Genes and genomes",,"Interactive viewer of metadynamics results.","Vojtěch Spiwok",https://bio.tools/metadyn_view,
METAGEN,http://www.compgen.org/tools/metagen,,"ELIXIR Greece","Genes and genomes",,"METAGEN performs meta-analysis using fixed- and random-effects logistic regression models, treating the multiple genotypes as independent variables","Pantelis Bagos",https://bio.tools/METAGEN,
METALizer,https://proteins.plus/2ozr#metalizer,,"ELIXIR Germany","Molecular and cellular structures",,"METALizer predicts the coordination geometry of metals in metalloproteins.",,https://bio.tools/metalizer,
MetaNetX,http://www.metanetx.org/,,"ELIXIR Switzerland","Genes and genomes",,"MetaNetX is a repository of genome-scale metabolic networks (GSMNs) and biochemical pathways from a number of major resources imported into a common namespace of chemical compounds, reactions, cellular compartments - namely MNXref - and proteins. The MetaNetX.org website (http://www.metanetx.org/) provides access to these integrated data as well as a variety of tools that allow users to import their own GSMNs, map them to the MNXref reconciliation, and manipulate, compare, analyze, simulate (using flux balance analysis) and export the resulting GSMNs. MNXref and MetaNetX are regularly updated and freely available.","Marco Pagni",https://bio.tools/metanetx,http://doi.org/10.25504/fairsharing.szs7pn
MetaPhOrs,http://orthology.phylomedb.org,,"ELIXIR Spain","Evolution and phylogeny",,"A public repository of phylogeny-based orthologs and paralogs that were computed using phylogenetic trees available in twelve public repositories. ",,https://bio.tools/metaphors,
MetaProSIP,https://www.openms.de/applications/metaprosip/,,"ELIXIR Germany","Chemical biology",,"Automated inference of elemental fluxes in microbial communities, now integrated as TOPP into OpenMS","Oliver Kohlbacher",,
MetaProteomeAnalyzer,http://www.mpa.ovgu.de/,,"ELIXIR Germany","Proteins and proteomes",,"MetaProteomeAnalyzer is an intuitive open-source tool for metaproteomics data analysis and interpretation, which includes multiple search engines and the ability to decrease data redundancy by grouping protein hits into so-called metaproteins. ",,https://bio.tools/metaproteomeanalyzer,
metaseqR,https://www.bioconductor.org/packages/release/bioc/html/metaseqR.html,,"ELIXIR Greece",,,"Analysis and result reporting of RNA-Seq data by combining multiple statistical algorithms with optimized tradeoff between true and false hits.","Panagiotis Moulos",https://bio.tools/metaseqr,
MetExplore,https://metexplore.toulouse.inra.fr/index.html/,,"ELIXIR France","Enzymes, interactions and pathways, Genes and genomes",,"MetExplore is a free and open webserver for the analysis of omics data in the context of genome scale metabolic networks. MetExplore allows the collaborative curation of metabolic networks. In the specific case of metabolomics, it provides mining algorithms such as MetaboRank, a recommendation system for enhanced metabolic fingerprinting. Overall, Metexplore orginality relies in its ability to allow taylor made metabolic network visualisation using an open source javascript library: MetExploreViz.","Fabien JOURDAN",,
MetFrag,https://msbi.ipb-halle.de/MetFrag/,,"ELIXIR Germany","Enzymes, interactions and pathways, Genes and genomes",,"MetFrag is a system for the annotation of tandem mass spectra of metabolites, performing in silico fragmentation and scoring.","Steffen Neumann",https://bio.tools/metfrag,
methview.qc,https://github.com/YoannPa/methview.qc,,"ELIXIR Germany",,,"methview.qc allows you to generate quality control plots from your methylation array dataset.","Yoann Pageaud",,
MGnify,https://www.ebi.ac.uk/metagenomics/,,EMBL-EBI,"Genes and genomes","Core Data Resources","Formerly called EBI Metagenomics, MGnify is an automated pipeline for the analysis and archiving of metagenomic data.",,https://bio.tools/ebi_metagenomics,http://doi.org/10.25504/fairsharing.dxj07r
"MHC Motif Atlas",http://mhcmotifatlas.org/,,"ELIXIR Switzerland","Molecular and cellular structures",,"The MHC Motif Atlas helps visualize, analyse, and compare the different binding specificities of thousands of class I and class II MHC molecules, and includes binding motifs, peptide length distributions, motifs of phosphorylated ligands, multiple specificities, or links to X-ray crystallography structures.",,https://bio.tools/mhc_motif_atlas,
MHCquant,https://nf-co.re/mhcquant,,"ELIXIR Germany",,,"OpenMS workflow for identification and quantification of HLA ligands.","Oliver Kohlbacher",https://bio.tools/MHCquant,
Micca,https://compmetagen.github.io/micca,,"ELIXIR Italy","Genes and genomes, Proteins and proteomes",,"A software pipeline for the processing of amplicon sequencing data, from raw sequences to OTU tables, taxonomy classification and phylogenetic tree inference","Davide Albanese",https://bio.tools/micca,
Micro-CTvlab,https://www.lifewatch.eu/microctvlab,,"ELIXIR Greece",,,"Micro-tomography (micro-computed tomography or microCT) is a method of non-destructive 3D x-ray microscopy, which allows the users to create 3D models of objects from a series of x-ray projection images, similar to the conventional clinical computer tomography. The MicroCT Service offers a collection of virtual galleries of taxa which will be displayed and disseminated through a web-based framework, and allows the user to manipulate the 3D models through a series of online tools or to download the datasets for local manipulations.","Christos Arvanitidis",https://bio.tools/lifewatchgreece,
"Microbiome Analysis Toolbox",https://microbiome-tools.embl.de/,,"ELIXIR Germany","Evolution and phylogeny",,"A compilation of tools offering identification and quantification of microorganisms, working with cellular pathways, phylogenetic trees and microbial communities, including: 


	MOCAT - a modular and scalable software pipeline for analyzing shotgun metagenomics datasets generated with Illumina technology. 
	mOTUs - Metagenomic operational taxonomic units (mOTUs) allow for the quantification of known (sequenced) and unknown microorganisms at species-level resolution from shotgun sequencing data. 
	SIAMCAT -  a modular framework for the statistical inference of associations between microbial communities and host phenotypes, such as disease states in clinical case-control studies. 
	eggNOG - a database of nested orthologous gene groups (NOGs) infered using unsupervised clustering applied to >2,000 complete genomes followed by comprehensive characterization and analysis of the resulting gene families. 
	Enterotyping - uses computational methods to detect and characterise densely populated regions in a high-dimensional space of microbiome community composition, by which human individuals can be stratified. 
	iPATH - a web-based tool for the visualization and analysis of cellular pathways. Based on current annotations (such as KEGG), it provides pathway maps for primary cellular metabolism as well as for some additional secondary metabolite synthesis and regulatory pathways. 
	iTOL - Interactive Tree Of Life (iTOL) is an online tool for the display and manipulation of phylogenetic trees. ","Peer Bork",,
MicroMiner,https://proteins.plus/2ozr#microminer,,"ELIXIR Germany","Proteins and proteomes",,"MicroMiner searches mutations in protein structure databases like the PDB. Retrieved mutant structures can be easily analysed and compared. ",,,
MicroScope,http://www.genoscope.cns.fr/agc/microscope/home/,,"ELIXIR France","Enzymes, interactions and pathways, Genes and genomes",,"MicroScope is an integrated Web platform for the annotation and exploration of microbial gene functions through genomic, pangenomic and metabolic comparative analysis. It supports submissions of newly assembled genomes and metagenomes, and also provides analysis services for RNA-seq data. The user interface of MicroScope enables collaborative work in a rich comparative context to improve community-based curation efforts.","Claudine Médigue, David Vallenet",https://bio.tools/microscope,http://doi.org/10.25504/fairsharing.3t5qc3
MicroTSS,https://elixir-greece.org/node/49,,"ELIXIR Greece",,,"microTSS is a machine-learning algorithm that provides highly accurate, single-nucleotide resolution predictions for intergenic miRNA transcription start sites (TSSs)","Artemis Hatzigeorgiou",https://bio.tools/microTSS,
MINT,http://mint.bio.uniroma2.it/,,"ELIXIR Italy","Enzymes, interactions and pathways, Proteins and proteomes",,"The Molecular INTeraction Database of protein-protein interactions curated from peer-reviewed papers. An ELIXIR Core Data Resources and founder member of the IMEx Consortium.","Luana Licata",https://bio.tools/mint,https://fairsharing.org/FAIRsharing.2bdvmk
MirGeneDB,https://mirgenedb.org/,,"ELIXIR Norway","Genes and genomes",,"A manually curated database of animal small non-coding RNAs","Bastian Fromm, Eivind Hovig",https://bio.tools/mirgen,
Missense3D,http://missense3d.bc.ic.ac.uk/,,"ELIXIR UK","Molecular and cellular structures, Proteins and proteomes",,"The Missense3D portal hosts resources developed to characterise and prioritise missense variants (amino acid substitutions) using protein three-dimensional structural information from models or experimental coordinates. Missense3D predicts the structural changes introduced by an amino acid substitution.","Michael Sternberg",https://bio.tools/missense3d-db,
MitoZoa,http://srv00.recas.ba.infn.it/mitozoa/,,"ELIXIR Italy","Genes and genomes",,"MITOchondrial genome database of metaZOAns, a resource for comparative analyses of metazoan mitochondrial genomes at the sequence and genomic levels.","Graziano Pesole",https://bio.tools/mitozoa,https://fairsharing.org/FAIRsharing.26pqv5
MobiDB,http://mobidb.bio.unipd.it/,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"A database of protein disorder and mobility annotations, designed centralize resources for annotations of intrinsic protein disorder and its function. Part of the InterPro consortium, an ELIXIR Core Data Resource.","Silvio Tosatto",https://bio.tools/mobidb,https://fairsharing.org/FAIRsharing.jwra3e
MobiDB-lite,http://protein.bio.unipd.it/mobidblite/,,"ELIXIR Italy",,,"MobiDB-lite is an optimized method for highly specific predictions of long intrinsically disordered regions.","Silvio Tosatto",https://bio.tools/mobidb-lite,
"Model Archive",https://www.modelarchive.org/,,"ELIXIR Switzerland","Proteins and proteomes","ELIXIR Deposition Databases","The archive for structural models which are not based on experimental data and complements the PDB archive for experimental structures and PDB- Dev for integrative structures. Any type of macromolecular structure which would otherwise be suitable for the PDB but whose coordinates are not based on experimental data can be deposited in ModelArchive. This includes single chains or complexes consisting of proteins, RNA, DNA, or carbohydrates including small molecules bound to them.","Torsten Schwede",https://bio.tools/modelarchive,https://doi.org/10.25504/FAIRsharing.tpqndj
MOFA,https://github.com/bioFAM/MOFA,,"ELIXIR Germany",,,"Intuitively, MOFA can be viewed as a versatile and statistically rigorous generalization of principal component analysis (PCA) to multi-omics data. Given several data matrices with measurements of multiple ‘omics data types on the same or on overlapping sets of samples, MOFA infers an interpretable low-dimensional data representation in terms of (hidden) factors. These learnt factors represent the driving sources of variation across data modalities, thus facilitating the identification of cellular states or disease subgroups.","Oliver Stegle",,
MolArt,https://github.com/cusbg/MolArt,,"ELIXIR Czech Republic",,,"MolArt (MOLeculAR structure annoTator) - molecular structure annotation and visualization tool.","David Hoksza",https://bio.tools/MolArt,
MOLE,http://mole.chemi.muni.cz/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Toolkit for rapid and fully automated location and characterization of channels, tunnels and pores in (bio)macromolecular structures, e.g., proteins, RNA, DNA and biomacromolecular assemblies. ","Jaroslav Koča / David Sehnal",https://bio.tools/mole,
MOLEonline,https://mole.upol.cz/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Web interface providing a direct access to MOLE 2.0 functionality and enabling on-line and easy-to-use interactive channel analysis. ","Michal Otyepka / Karel Berka",https://bio.tools/moleonline,
MOLGENIS,https://molgenis.github.io/,,"ELIXIR Netherlands",,"Recommended Interoperability Resources","A software package to help researchers set up an online database application that supports data queries and allows data sharing.","Prof.Dr. Morris Swertz",https://bio.tools/molgenis,
MolMeDB,http://molmedb.upol.cz/,,"ELIXIR Czech Republic",,,"MolMeDB is an open chemistry database about interactions of molecules with membranes.","Karel Berka",https://bio.tools/MolMeDB,
MolStar,https://molstar.org/,,"ELIXIR Czech Republic",,,"Mol* is a web application for visualization of biomacromolecular structures including experimental data (for example electron densities) and annotations. Can visualize also molecular dynamics.","Alexander Rose",https://bio.tools/molstar,
MotiveValidator,http://webchem.ncbr.muni.cz/Platform/MotiveValidator,,"ELIXIR Czech Republic","Molecular and cellular structures, Proteins and proteomes",,"A web application for validation of annotation of ligands and
	residues.",,https://bio.tools/motivevalidator,
mOTUs,https://motu-tool.org/,,"ELIXIR Switzerland","Genes and genomes",,"The mOTUs tool uses phylogenetic marker gene (MG)-based operational taxonomic units (mOTUs) to profile microorganisms at species-level resolution when using metagenomic data as input. Since the MGs represent housekeeping genes, mOTUs can also be used to profile transcriptionally active community members when using metatranscriptomic data as input. Furthermore, MG-based SNV profiling provides an efficient alternative to using whole genome sequences to compare microbial strain populations.",,https://bio.tools/motus,
mOTUs,https://motu-tool.org/,,"ELIXIR Germany",,,"Metagenomic operational taxonomic units (mOTUs) allow for the quantification of known (sequenced) and unknown microorganisms at species-level resolution from shotgun sequencing data. The method clusters single-copy phylogenetic marker gene sequences from metagenomes and reference genomes into mOTUs to profile their abundances in shotgun metagenomic samples.",,,
"MS2PIP Server",https://iomics.ugent.be/ms2pip/,,"ELIXIR Belgium","Proteins and proteomes",,"Tool to predict peptide fragment ion intensities for mass spectrometry-based proteomics data.","Lennart Martens",https://bio.tools/MS2PIP_Server,
MToolBox,https://bio.tools/MToolBox,,"ELIXIR Italy","Genes and genomes",,"A highly automated bioinformatics pipeline to reconstruct and analyze human mitochondrial DNA from NGS data. Predicts mitochondrial haplogroups.","Graziano Pesole",https://bio.tools/mtoolbox,
"Multiple Testing Correction",https://multipletesting.com/,,"ELIXIR Hungary",,,"A tool for life science researchers to correct multiple hypothesis testing",,,
MultiPLX,http://bioinfo.ut.ee/multiplx/,,"ELIXIR Estonia","Genes and genomes",,"A tool for analyzing PCR primer compatibility and automatically finding optimal multiplexing (grouping) solution.  It uses nearest neighbour DNA binding thermodynamics to estimate unwanted pairings between PCR samples.","Maido Remm",https://bio.tools/multiplx,
muTarget,https://www.mutarget.com/,,"ELIXIR Hungary",,,"A platform linking gene expression changes and mutational status in solid tumours  ",,,
NASE,https://openms.de/nase,,"ELIXIR Germany",,,"Nucleic acid search engine to reliably identify a wide range of modified RNA sequences.",,,
NEOF,https://neof.org.uk/training/,,"ELIXIR UK","Evolution and phylogeny, Genes and genomes, Proteins and proteomes",,"The NERC Environmental Omics Facility (NEOF) will enable environmental researchers in the UK to access the full range of omics supporting technology.","Steve Paterson",,
"Network Analyzer",https://www.elixir-greece.org/node/42,,"ELIXIR Greece",,,"A tool to visualize the output from the database for annotation, visualization and integrated discovery DAVID in order to reveal overlapping biological connections for a list of relevant genes.","Peristera Paschou",,
Nextflow,https://nextflow.io,,"ELIXIR Spain",,,"Enables scalable and reproducible scientific workflows using software containers. It allows the adaptation of pipelines written in the most common scripting languages.",,https://bio.tools/nextflow,
Nextstrain,https://nextstrain.org/,,"ELIXIR Switzerland","Evolution and phylogeny, Genes and genomes",,"Nextstrain is an open-source project to harness the scientific and public health potential of pathogen genome data. We provide a continually updated view of publicly available data alongside powerful analytic and visualization tools for use by the community. Our goal is to aid epidemiological understanding and improve outbreak response. This resource supports COVID-19 / SARS-CoV-2 research.",,https://bio.tools/nextstrain.org,
"NLP4BIA tools",https://textmining.bsc.es,,"ELIXIR Spain",Literature,,"Textmining tools",,,
NNCR,https://www.france-bioinformatique.fr/en/compute-and-storage/,,"ELIXIR France",,,"The NNCR (National Network of Computing Resources) is a distributed infrastructure providing computing and storage services to french and international users and consisting of the IFB-core resources (cloud and cluster) and nine high-performance computing platforms located in different regions.","Christophe Blanchet; Gildas Le Courguillé; Julien Seiler",,
Norine,http://bioinfo.cristal.univ-lille.fr/norine/,,"ELIXIR France","Proteins and proteomes",,"Norine has been and remains the unique resource dedicated to nonribosomal peptides (NRPs). It contains a database complemented with analysis tools (structure comparison, inference of monomer structure from chemical structure, mass spectrum analysis, NRP annotation for submission to the database). NRPs are secondary metabolites produced by bacteria and fungi and display a diverse spectrum of biological activity.","Pupin Maude, Leclère Valérie, Flissi Areski",https://bio.tools/NORINE,
"Ocean Gene Atlas",http://tara-oceans.mio.osupytheas.fr/ocean-gene-atlas/,,"ELIXIR France","Genes and genomes",,"The Ocean Gene Atlas service provides data mining access to three complementary data objects: gene sequence catalogs (ENA), sample environmental context (PANGAEA), and gene abundances estimates in samples (computed by mapping raw sequence reads onto gene catalogs). User queries are composed of either a sequence (nucleic or protein), or a hidden Markov model derived from a multiple sequence alignment. Homologs of the user query in the gene catalogs are identified using standard sequence similarity search tools (eg BLAST or HMMER), and their read based estimated abundance are displayed in interactive world maps and ecological plots. A phylogenetic tree is also inferred in order to situate the user query within its context of marine environmental homologs as well as known homologs from reference sequences.","Magali Lescot",https://bio.tools/Ocean_Gene_Atlas,
OLIDA,https://olida.ibsquare.be/,,"ELIXIR Belgium","Enzymes, interactions and pathways, Molecular and cellular structures",,"Curated database of oligogenic diseases and genetic variants causing these diseases. The successor of DIDA, a similar database for digenic diseases",,https://bio.tools/olida,
OMA,https://omabrowser.org,,"ELIXIR Switzerland","Evolution and phylogeny, Genes and genomes",,"OMA identifies orthologs among 2000 genomes from all domains of life. Other distinctive characteristics are the high quality of its inferences, the feature-rich web interface, and frequent update schedule of two releases per year. ","Gaston Gonnet & Christophe Dessimoz",https://bio.tools/oma,http://doi.org/10.25504/fairsharing.g3j5qj
"Omics Discovery Index (OmicsDI)",https://www.omicsdi.org/,,EMBL-EBI,,"Recommended Interoperability Resources","The Omics Discovery Index provides a knowledge discovery framework across heterogeneous omics data (genomics, proteomics, transcriptomics and metabolomics). It indexes metadata from more than 20 omics resources across four continents.",,https://bio.tools/omicsdi,https://fairsharing.org/FAIRsharing.re1278
OmniPath,https://omnipathdb.org/,,"ELIXIR Germany",,,"A database of causal protein-protein interactions, transcriptional and post-transcriptional regulation, enzyme-PTM interactions, protein complexes, annotations (function, disease roles, expression, localization, structure) and intercellular communication. Integrates data from more than 100 resources.","Julio Saez-Rodriguez",https://bio.tools/OmniPath,
OMPdb,http://www.ompdb.org/,,"ELIXIR Greece",,,"OMPdb is a database of beta-barrel outer membrane proteins from Gram-negative bacteria.","Pantelis Bagos",https://bio.tools/OMPdb,
"Ontology for Nutritional Studies",https://bioportal.bioontology.org/ontologies/ONS,,"ELIXIR Italy",,,"Terms that are commonly encountered while conducting, reporting, storing, harmonizing, integrating, and describing nutritional studies. ONS builds upon a subset of the Ontology for Biomedical Investigations (OBI), reuses already formalized information by importing terms already defined in other ontologies, and defines de novo key classes/terms to tailor concept to the nutritional field","Duccio Cavalieri",,
OpenConext,https://openconext.org/,,"ELIXIR Netherlands",,,"Open source software underlying the technology for SURF's single sign-on and facilitating national and international online collaboration in education and research.","Niels van Dijk",,
OpenEBench,https://openebench.bsc.es,,"ELIXIR Spain",,,"OpenEBench (https://openebench.bsc.es) is the ELIXIR benchmarking and technical monitoring platform for bioinformatics tools, web servers and workflows. ",,https://bio.tools/openebench,
OpenMS,https://www.openms.de/,,"ELIXIR Germany","Chemical biology",,"OpenMS is an open-source C++ library (+ Python bindings) for LC/MS data management, analysis and visualization. ","Oliver Kohlbacher",https://bio.tools/openms,
OpenPepXL,https://www.openms.de/applications/openpepxl/,,"ELIXIR Germany",,,"OpenMS tool for the study of Protein-Protein interactions.","OpenMS tool for the study of Protein-Protein interactions.",https://bio.tools/openpepxl,
"OpenTargets Platform",https://platform.opentargets.org/,,EMBL-EBI,"Enzymes, interactions and pathways, Proteins and proteomes",,"A comprehensive tool that supports systematic identification and prioritisation of potential therapeutic drug targets. The Platform is a freely available resource that is actively maintained with quarterly data updates.",,https://bio.tools/Open_Targets_Platform,https://fairsharing.org/FAIRsharing.3f9n4y
Orange,http://orange.biolab.si/,,"ELIXIR Slovenia",,,"Open source software environment for development of biomedical data mining applications and data analysis workflows.",,https://bio.tools/orange,
Orange4WS,http://orange4ws.ijs.si/,,"ELIXIR Slovenia",,,"A service‐oriented environment for data mining, integrating web services as workflow components",,,
Orione,https://orione.crs4.it,,"ELIXIR Italy",,,"A Galaxy instance customized for data-intensive computational analyses in microbiology and metagenomics.","Rossano Atzeni",https://bio.tools/orione,
Orphadata,https://www.orphadata.com/,,"ELIXIR France","Genes and genomes","Core Data Resources","Orphadata provides the scientific community with comprehensive, quality data sets related to rare diseases and orphan drugs from the Orphanet knowledge base, in reusable formats.","Ana Rath, Marc Hanauer",https://bio.tools/orphadata,https://fairsharing.org/biodbcore-001249/
Orphanet,http://www.orpha.net/consor/cgi-bin/index.php,,"ELIXIR France","Genes and genomes",,"Orphanet is the reference resource for information and data on rare diseases and orphan drugs. Orphanet derives from its knowledge base an ontology of rare diseases, information on rare diseases and data on rare diseases.","Ana Rath",https://bio.tools/orphanet,http://doi.org/10.25504/fairsharing.6bd5k6
OrthoDB,https://www.orthodb.org,,"ELIXIR Switzerland","Evolution and phylogeny, Genes and genomes",,"OrthoDB is a comprehensive catalog of evolutionary and functional annotations of orthologs, covering over 22 million genes from over 5000 species of animals, fungi, plants, archaea, bacteria, and viruses. ","Evgeny Zdobnov",https://bio.tools/orthodb,http://doi.org/10.25504/fairsharing.x989d5
ORVAL,https://orval.ibsquare.be/,,"ELIXIR Belgium","Proteins and proteomes",,"(Oligogenic Resource for Variant Analysis) is the first web bioinformatics platform for the exploration of predicted candidate disease-causing variant combinations, aiming to aid in uncovering the causes of oligogenic diseases (i.e. diseases caused by variants in a small number of genes).",,https://bio.tools/Oligogenic_resource_for_variant_analysis,
OTP,https://gitlab.com/one-touch-pipeline/otp/,,"ELIXIR Germany",,,"OTP = ""One Touch Pipeline"" is a comprehensive framework for NGS project organization and processing. The application provides support in all steps of this process, including data transfer from temporary to final storage, execution of data quality monitoring programs, alignment of reads to the reference genome and variant calling. It allows full automatization, extended project administration, and full processing control for operators.","Roland Eils",https://bio.tools/otp,
PanDrugs,https://www.pandrugs.org,,"ELIXIR Spain","Chemical biology, Genes and genomes",,"PanDrugs is a method to prioritize anticancer drug treatments according to individual genomic data. PanDrugs current version integrates data from 24 primary sources and supports 56297 drug-target associations obtained from 4804 genes and 9092 unique compounds",,https://bio.tools/pandrugs,
PANGAEA,https://www.pangaea.de/,,"ELIXIR Germany",,,"A service for the publishing, archiving and re-using data.","Janine Felden",https://bio.tools/pangea,
ParameciumDB,https://paramecium.i2bc.paris-saclay.fr,,"ELIXIR France","Genes and genomes",,"ParameciumDB is a community model organism database for the ciliate Paramecium. The web site gives access to genomes of many Paramecium species and their annotations. ParameciumDB also  integrates  genome-wide datasets (DNA-seq, RNA-seq, ChIP-seq) provided by the community. This portal is used to query, retrieve, visualize and compare the most up-to-date public data.","Olivier ARNAIZ",https://bio.tools/parameciumdb,
Pasta,http://protein.bio.unipd.it/pasta2,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"Prediction of Amyloid STructure Aggregation is a web server predictor for amyloid aggregation propensity from protein sequences;","Silvio Tosatto",,
PATCH,https://www.denbi.de/services/1685-patch,,"ELIXIR Germany","Genes and genomes",,"A collection of software solutions for pangenome analyses.",,,
PatSearch,http://itbtools.ba.itb.cnr.it/patsearch,,"ELIXIR Italy","Genes and genomes",,"To searches user submitted sequences for any combination of Position Weight Matrices (PWMs), primary sequence patterns and structural motifs.","Graziano Pesole",https://bio.tools/patsearch,
PatternQuery/PatternExplorer,https://webchem.ncbr.muni.cz/Platform/PatternQuery,,"ELIXIR Czech Republic","Molecular and cellular structures",,"Software to identify defined fragments in biomacromolecules.","Radka Svobodová Vařeková / David Sehnal",https://bio.tools/patternquery,
"PCA-correlated SNPs tool",https://www.elixir-greece.org/node/44,,"ELIXIR Greece",,,"Our algorithm for identifying PCA-correlated SNPs takes as input a properly encoded SNP data matrix and outputs a score for each SNP. SNPs corresponding to the highest scores are typically the most informative in reproducing the structure of the population.","Peristera Paschou",,
PDBTM,https://pdbtm.unitmp.org,,"ELIXIR Hungary","Molecular and cellular structures, Proteins and proteomes",,"Database of membrane localization of transmembrane proteins with defined spatial structure","Kozma, D.",,
PED,https://proteinensemble.org/,,"ELIXIR Italy",,,"The Protein Ensemble Database (PED) is an open access database for the deposition of structural ensembles, including intrinsically disordered proteins (IDPs). Manually curated data of structural ensembles measured with nuclear magnetic resonance spectroscopy, small-angle X-ray scattering, fluorescence resonance energy transfer are annotated in PED.","Silvio Tosatto",https://bio.tools/proteinensemble,
Pegi3s,https://pegi3s.github.io/dockerfiles/,,,,,"Bioinformatics Docker Images Project, a library of over 50 Docker images. ","Jorge Vieira",,
